formula,d,eps,Delta,speedup,incr wall time,time per portion
Psi 2,128,2,32,2.346669333805654,0.00056349,0.0001408725
Psi 2,128,4,8,8.098512592104878,0.00150729,9.4205625e-05
Psi 2,128,4,16,4.338871495164788,0.00148723,0.00018590375
Psi 2,128,4,32,2.3755286961331294,0.00151286,0.000378215
Psi 2,128,8,16,4.246341472119055,0.00467533,0.00058441625
Psi 2,128,8,32,2.3163751106698998,0.0047813099999999996,0.0011953274999999999
Psi 2,256,2,4,30.92630821710111,0.00115691,1.807671875e-05
Psi 2,256,2,8,15.674500039249885,0.00114509,3.57840625e-05
Psi 2,256,2,16,8.279140302288692,0.00110917,6.9323125e-05
Psi 2,256,2,32,4.27066339511909,0.00113906,0.0001423825
Psi 2,256,4,8,16.048591757178375,0.0030564600000000004,9.551437500000001e-05
Psi 2,256,4,16,8.404988447453247,0.00299408,0.00018713
Psi 2,256,4,32,4.3181687013393875,0.00308278,0.0003853475
Psi 2,256,8,16,8.270294847208502,0.009702849999999999,0.0006064281249999999
Psi 2,256,8,32,4.270141927001863,0.00997764,0.001247205
Psi 2,512,2,4,64.623669514543,0.00229324,1.79159375e-05
Psi 2,512,2,8,32.02617104741923,0.00229764,3.5900625e-05
Psi 2,512,2,16,16.756070615687303,0.00221891,6.93409375e-05
Psi 2,512,2,32,8.385933033092666,0.00229079,0.000143174375
Psi 2,512,4,8,32.20154492033394,0.006181809999999999,9.659078124999999e-05
Psi 2,512,4,16,16.80425230430117,0.00598225,0.0001869453125
Psi 2,512,4,32,8.308962520009985,0.006227740000000001,0.00038923375000000004
Psi 2,512,8,16,16.260747059137127,0.01998699,0.0006245934375
Psi 2,512,8,32,8.080027643654194,0.02074163,0.001296351875
Psi 3,16,2,4,1.9739806233665085,6.269999999999999e-05,1.5674999999999998e-05
Psi 3,16,2,8,1.2790214190057896,6.165000000000001e-05,3.0825000000000004e-05
Psi 3,16,2,16,0.9159862208119678,6.365e-05,6.365e-05
Psi 3,16,4,8,1.1558916225126383,0.00013742,6.871e-05
Psi 3,16,4,16,0.9281165158652668,0.00013956,0.00013956
Psi 3,16,8,16,0.9349139678296052,0.00020579,0.00020579
Psi 3,32,2,4,3.8531340962791565,0.00014045,1.755625e-05
Psi 3,32,2,8,2.244619175204105,0.00013613999999999998,3.4034999999999995e-05
Psi 3,32,2,16,1.3579872616418518,0.00013852,6.926e-05
Psi 3,32,2,32,0.9440090039759697,0.0001379,0.0001379
Psi 3,32,4,8,2.092474244012423,0.00034408,8.602e-05
Psi 3,32,4,16,1.2947386613223875,0.00034585999999999997,0.00017292999999999999
Psi 3,32,4,32,0.9367788398019699,0.00034646000000000004,0.00034646000000000004
Psi 3,32,8,16,1.1936306547264584,0.00087097,0.000435485
Psi 3,32,8,32,0.989421540371389,0.00084424,0.00084424
Psi 3,64,2,4,7.70926946579928,0.00027775,1.7359375e-05
Psi 3,64,2,8,4.22582427267762,0.00026879,3.359875e-05
Psi 3,64,2,16,2.3420013546065017,0.00027147,6.78675e-05
Psi 3,64,2,32,1.4122147536411216,0.00027617,0.000138085
Psi 3,64,4,8,4.100011421129489,0.00070599,8.824875e-05
Psi 3,64,4,16,2.297189020250574,0.00070537,0.0001763425
Psi 3,64,4,32,1.4127008595323178,0.00071459,0.000357295
Psi 3,64,8,16,2.142722913726759,0.0021073900000000002,0.0005268475000000001
Psi 3,64,8,32,1.3607342627047307,0.00211509,0.001057545
Psi 3,128,2,4,15.52246503408349,0.00057071,1.78346875e-05
Psi 3,128,2,8,8.207328056282615,0.00054979,3.4361875e-05
Psi 3,128,2,16,4.325636965522468,0.00055191,6.898875e-05
Psi 3,128,2,32,2.351847343897435,0.00056411,0.0001410275
Psi 3,128,4,8,8.159585386118831,0.0014992900000000001,9.370562500000001e-05
Psi 3,128,4,16,4.359879610576001,0.00147876,0.000184845
Psi 3,128,4,32,2.3901759296118366,0.00150792,0.00037698
Psi 3,128,8,16,4.228640361837353,0.00465669,0.00058208625
Psi 3,128,8,32,2.3143173707871236,0.0047592400000000005,0.0011898100000000001
Psi 3,256,2,4,31.56161462430435,0.00114,1.78125e-05
Psi 3,256,2,8,15.964213182756046,0.00113526,3.5476875e-05
Psi 3,256,2,16,8.420321972669514,0.00110545,6.9090625e-05
Psi 3,256,2,32,4.312978130550295,0.00114132,0.000142665
Psi 3,256,4,8,16.250967275982,0.00303388,9.480875e-05
Psi 3,256,4,16,8.4672094192082,0.00298572,0.0001866075
Psi 3,256,4,32,4.314567100387967,0.00309165,0.00038645625
Psi 3,256,8,16,8.239706431475101,0.00970305,0.000606440625
Psi 3,256,8,32,4.262435020599574,0.009951950000000001,0.0012439937500000001
Psi 3,512,2,4,65.50687699812532,0.00228015,1.7813671875e-05
Psi 3,512,2,8,32.94365924885367,0.00226821,3.544078125e-05
Psi 3,512,2,16,17.082106987581554,0.00220667,6.89584375e-05
Psi 3,512,2,32,8.558010083550677,0.00227166,0.00014197875
Psi 3,512,4,8,32.62827875268831,0.0061366500000000004,9.588515625000001e-05
Psi 3,512,4,16,16.737466746313565,0.00605223,0.0001891321875
Psi 3,512,4,32,8.351275512177828,0.0062612100000000006,0.00039132562500000003
Psi 3,512,8,16,16.297937617831877,0.02000696,0.0006252175
Psi 3,512,8,32,8.174118496641093,0.02065281,0.001290800625
Psi 4,16,2,4,1.8685585790251138,6.716e-05,1.679e-05
Psi 4,16,2,8,1.2283275522083998,6.418e-05,3.209e-05
Psi 4,16,2,16,0.87034569194401,6.536e-05,6.536e-05
Psi 4,16,4,8,1.13278614126611,0.00014155,7.0775e-05
Psi 4,16,4,16,0.9273980126464455,0.0001379,0.0001379
Psi 4,16,8,16,0.9502743161810447,0.00020140999999999998,0.00020140999999999998
Psi 4,32,2,4,3.9181402609631615,0.00013858000000000002,1.7322500000000002e-05
Psi 4,32,2,8,2.1914986171956645,0.00014146999999999999,3.5367499999999996e-05
Psi 4,32,2,16,1.3531490408154068,0.00013757,6.8785e-05
Psi 4,32,2,32,0.9531256638267293,0.00013518999999999998,0.00013518999999999998
Psi 4,32,4,8,2.123301222373523,0.00033724,8.431e-05
Psi 4,32,4,16,1.35629144273741,0.00032972000000000003,0.00016486000000000002
Psi 4,32,4,32,0.9811844419037622,0.0003275,0.0003275
Psi 4,32,8,16,1.220640113573069,0.0008493299999999999,0.00042466499999999996
Psi 4,32,8,32,0.995566406773905,0.0008468000000000001,0.0008468000000000001
Psi 4,64,2,4,7.582006652766455,0.00028644,1.79025e-05
Psi 4,64,2,8,3.9931875294790316,0.00028767,3.595875e-05
Psi 4,64,2,16,2.28936332930254,0.00027883000000000004,6.970750000000001e-05
Psi 4,64,2,32,1.3905895859432755,0.00028166,0.00014083
Psi 4,64,4,8,4.077099274611714,0.0007194100000000001,8.992625000000001e-05
Psi 4,64,4,16,2.3142259444296185,0.0007081800000000001,0.00017704500000000002
Psi 4,64,4,32,1.400445106484468,0.00072575,0.000362875
Psi 4,64,8,16,2.1845254453402485,0.00208484,0.00052121
Psi 4,64,8,32,1.3643108621606566,0.00211802,0.00105901
Psi 4,128,2,4,15.2395136596526,0.00058735,1.83546875e-05
Psi 4,128,2,8,7.803579283384113,0.00057942,3.621375e-05
Psi 4,128,2,16,4.2504656787245265,0.00056228,7.0285e-05
Psi 4,128,2,32,2.349786334663611,0.00056978,0.000142445
Psi 4,128,4,8,8.150706054793272,0.0015036,9.3975e-05
Psi 4,128,4,16,4.375943888991044,0.0014802499999999998,0.00018503124999999997
Psi 4,128,4,32,2.3748972013322653,0.00151951,0.0003798775
Psi 4,128,8,16,4.2844708364164354,0.00462252,0.000577815
Psi 4,128,8,32,2.346924155476088,0.0047414,0.00118535
Psi 4,256,2,4,30.794283160528085,0.00116754,1.82428125e-05
Psi 4,256,2,8,15.51354419775019,0.00116883,3.65259375e-05
Psi 4,256,2,16,8.25746293932285,0.00112889,7.0555625e-05
Psi 4,256,2,32,4.284058500250384,0.00115149,0.00014393625
Psi 4,256,4,8,16.139142924161558,0.00306039,9.56371875e-05
Psi 4,256,4,16,8.474037042980807,0.00297782,0.00018611375
Psi 4,256,4,32,4.348503569208559,0.0030878499999999996,0.00038598124999999995
Psi 4,256,8,16,8.382737173272831,0.00956994,0.00059812125
Psi 4,256,8,32,4.317093722186165,0.00986939,0.00123367375
Psi 4,512,2,4,64.13955485874676,0.00232654,1.817609375e-05
Psi 4,512,2,8,32.17710022934245,0.0023196,3.624375e-05
Psi 4,512,2,16,16.91506803996514,0.00223156,6.973625e-05
Psi 4,512,2,32,8.444714908184032,0.00230961,0.000144350625
Psi 4,512,4,8,32.488867938643885,0.006159609999999999,9.624390624999999e-05
Psi 4,512,4,16,16.964209704071116,0.005976090000000001,0.00018675281250000002
Psi 4,512,4,32,8.397618690037863,0.0062312800000000005,0.00038945500000000003
Psi 4,512,8,16,16.3651858854052,0.01996119,0.0006237871875
Psi 4,512,8,32,8.169128732250343,0.02057376,0.00128586
Psi 5,16,2,4,2.0585213620673937,0.00023279,5.81975e-05
Psi 5,16,2,8,1.3077112721703004,0.00022710000000000002,0.00011355000000000001
Psi 5,16,2,16,0.9447479931326949,0.00022176000000000002,0.00022176000000000002
Psi 5,16,4,8,1.2466119689493786,0.00032452,0.00016226
Psi 5,16,4,16,0.9544857053758798,0.00031489999999999996,0.00031489999999999996
Psi 5,16,8,16,0.957534262407186,0.00040116,0.00040116
Psi 5,32,2,4,3.969741767157087,0.0004934000000000001,6.167500000000001e-05
Psi 5,32,2,8,2.2684861767341618,0.00048307000000000005,0.00012076750000000001
Psi 5,32,2,16,1.4138934942731896,0.00047342,0.00023671
Psi 5,32,2,32,0.9781982989999753,0.00046852,0.00046852
Psi 5,32,4,8,2.2129130349817334,0.0007346700000000001,0.00018366750000000002
Psi 5,32,4,16,1.393347376616596,0.00071926,0.00035963
Psi 5,32,4,32,0.9803531465650657,0.0007185,0.0007185
Psi 5,32,8,16,1.2774347120522032,0.0013245199999999998,0.0006622599999999999
Psi 5,32,8,32,0.9845706346190739,0.00132685,0.00132685
Psi 5,64,2,4,7.723561789251294,0.0010201799999999999,6.376124999999999e-05
