formula,duration,epsilon,sample,positive_status,positive_seconds,positive_value,positive_error,negative_status,negative_seconds,negative_value,negative_error,exact_seconds,status,verdict
phi6,8,2,0,ok,0.025945250992663205,False,,timeout,5.06961308902828,,RuntimeError: Z3 returned unknown: timeout,5.06961308902828,timeout,
phi6,8,2,1,ok,0.018879029958043247,False,,timeout,5.026652114989702,,RuntimeError: Z3 returned unknown: timeout,5.026652114989702,timeout,
phi6,8,2,2,ok,0.021370117960032076,False,,ok,1.255882464000024,True,,1.255882464000024,ok,0
phi6,8,4,0,ok,0.0274959160014987,False,,timeout,5.037618490983732,,RuntimeError: Z3 returned unknown: timeout,5.037618490983732,timeout,
phi6,8,4,1,ok,0.026287638989742845,False,,timeout,5.049139829003252,,RuntimeError: Z3 returned unknown: timeout,5.049139829003252,timeout,
phi6,8,4,2,ok,0.021969974040985107,False,,timeout,5.034968707012013,,RuntimeError: Z3 returned unknown: timeout,5.034968707012013,timeout,
phi6,8,8,0,ok,0.01849723601480946,False,,timeout,5.026339458010625,,RuntimeError: Z3 returned unknown: timeout,5.026339458010625,timeout,
phi6,8,8,1,ok,0.024614952970296144,False,,timeout,5.049103188968729,,RuntimeError: Z3 returned unknown: timeout,5.049103188968729,timeout,
phi6,8,8,2,ok,0.021530221973080188,False,,timeout,5.037186759989709,,RuntimeError: Z3 returned unknown: timeout,5.037186759989709,timeout,
phi6,16,1,0,ok,0.07587138604139909,False,,ok,0.07997412298573181,True,,0.07997412298573181,ok,0
phi6,16,1,1,ok,0.07152951799798757,False,,timeout,5.0754457479924895,,RuntimeError: Z3 returned unknown: timeout,5.0754457479924895,timeout,
phi6,16,1,2,ok,0.05718558997614309,False,,ok,0.06208086997503415,True,,0.06208086997503415,ok,0
phi6,16,2,0,ok,0.0575902359560132,False,,timeout,5.102403319033328,,RuntimeError: Z3 returned unknown: timeout,5.102403319033328,timeout,
phi6,16,2,1,ok,0.06190627097385004,False,,timeout,5.061482711986173,,RuntimeError: Z3 returned unknown: timeout,5.061482711986173,timeout,
phi6,16,2,2,ok,0.06433647405356169,False,,ok,0.06801531004020944,True,,0.06801531004020944,ok,0
phi6,16,4,0,ok,0.07343317801132798,False,,timeout,5.079582480015233,,RuntimeError: Z3 returned unknown: timeout,5.079582480015233,timeout,
phi6,16,4,1,ok,0.05662575300084427,False,,timeout,5.066699618997518,,RuntimeError: Z3 returned unknown: timeout,5.066699618997518,timeout,
phi6,16,4,2,ok,0.0795876610209234,False,,timeout,5.063605414004996,,RuntimeError: Z3 returned unknown: timeout,5.063605414004996,timeout,
phi6,16,8,0,ok,0.08112946600886062,False,,timeout,5.080853271996602,,RuntimeError: Z3 returned unknown: timeout,5.080853271996602,timeout,
phi6,16,8,1,ok,0.08107794099487364,False,,timeout,5.069020961003844,,RuntimeError: Z3 returned unknown: timeout,5.069020961003844,timeout,
phi6,16,8,2,ok,0.0791608479921706,False,,timeout,5.092727568000555,,RuntimeError: Z3 returned unknown: timeout,5.092727568000555,timeout,
