formula,duration,epsilon,sample,positive_status,positive_seconds,positive_value,positive_error,negative_status,negative_seconds,negative_value,negative_error,exact_seconds,status,verdict
phi6,8,8,1,timeout,7.453472584020346,,RuntimeError: Z3 returned unknown: timeout,ok,6.581313364964444,False,,7.453472584020346,timeout,
phi6,8,8,2,timeout,7.400935561978258,,RuntimeError: Z3 returned unknown: timeout,ok,2.080073920020368,True,,7.400935561978258,timeout,
phi6,16,1,0,ok,0.7760251609724946,False,,ok,0.617153764993418,True,,0.7760251609724946,ok,0
phi6,16,1,1,ok,0.5812943300115876,False,,ok,0.42699836898827925,True,,0.5812943300115876,ok,0
phi6,16,1,2,ok,0.6650632740347646,False,,ok,0.506568401993718,True,,0.6650632740347646,ok,0
phi6,16,2,0,timeout,6.102492115984205,,RuntimeError: Z3 returned unknown: timeout,ok,3.5855961209745146,True,,6.102492115984205,timeout,
phi6,16,2,1,timeout,5.996226765040774,,RuntimeError: Z3 returned unknown: timeout,ok,2.0386104750214145,True,,5.996226765040774,timeout,
phi6,16,2,2,timeout,6.40760788298212,,RuntimeError: Z3 returned unknown: timeout,ok,1.6298372320015915,True,,6.40760788298212,timeout,
phi6,16,4,0,timeout,9.276523961976636,,RuntimeError: Z3 returned unknown: timeout,timeout,10.630321484990418,,RuntimeError: Z3 returned unknown: timeout,10.630321484990418,timeout,
phi6,16,4,1,timeout,8.909130048996303,,RuntimeError: Z3 returned unknown: timeout,timeout,10.173604001989588,,RuntimeError: Z3 returned unknown: timeout,10.173604001989588,timeout,
phi6,16,4,2,timeout,9.21763699798612,,RuntimeError: Z3 returned unknown: timeout,ok,9.408223706996068,True,,9.408223706996068,timeout,
phi6,16,8,0,timeout,27.739224728022236,,RuntimeError: Z3 returned unknown: timeout,timeout,42.44623931997921,,RuntimeError: Z3 returned unknown: timeout,42.44623931997921,timeout,
phi6,16,8,1,timeout,30.571854540961795,,RuntimeError: Z3 returned unknown: timeout,timeout,35.59333538200008,,RuntimeError: Z3 returned unknown: timeout,35.59333538200008,timeout,
phi6,16,8,2,timeout,31.079528623027727,,RuntimeError: Z3 returned unknown: timeout,timeout,27.519131183973514,,RuntimeError: Z3 returned unknown: timeout,31.079528623027727,timeout,
